ID,Ref.,Cit.,Alloy,Dmax,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Class
1,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",((Fe0.5Co0.5)0.75B0.2Si0.05)96Nb4,5,5,0.547693345,0.465030607,0.415303046,0.397819812,0.385874354,22.352,36,7.46496,41,5,26.5,60.128,31,6.27456,78,47,56.5,48.4602214,82.09538,16.41327427,92.90638,10.811,57.3890975,1930.232,1063,226.004352,2750,1687,1789.5,9.488,9,1.78176,14,5,8.5,3.608,3,0.67584,5,2,4,120.896,80,15.11808,164,84,129,1.88248,0.44,0.0621696,2.04,1.6,1.855,1.96,1,0.0768,2,1,2,0.288,2,0.43776,2,0,0,4.84,7,2.3904,7,0,6.5,0,0,0,0,0,0,7.088,6,2.03328,9,3,8.5,0.04,1,0.0768,1,0,0,1.152,5,1.75104,5,0,0,2.76,6,1.3248,6,0,3.5,0,0,0,0,0,0,3.952,4,0.68544,7,3,3.5,10.63644,13.2675,1.61198976,20.44,7.1725,10.4875,0.329712,1.524,0.50116224,1.524,0,0,1.31728824,2.1106628,0.737681414,2.1106628,0,1.829567,204.208,63,22.021632,229,166,211.5,0.276523702,0.040632054,0.682844244,0,0,0.04724739,0.004443959,None
2,[2],"[2] J.M. Park, J.S. Park, D.H. Kim, J.-H. Kim, E. Fleury, Formation, and mechanical and magnetic properties of bulk ferromagnetic Fe-Nb-B-Y-(Zr, Co).  alloys, J. Mater. Res. 21 (2006) 1019–1024. https://doi.org/10.1557/jmr.2006.0126.",Fe71Nb6B17Y3Zr3,3,5,0.733757453,0.713410818,0.710112363,0.710004579,0.710000044,24.14,36,6.5076,41,5,26,55.79,60,5.5114,72,12,55,52.4660983,82.09538,14.16273342,92.90638,10.811,55.845,1967.78,951,232.7544,2750,1799,1811,8.4,10,1.564,13,3,8,3.78,3,0.6052,5,2,4,128.79,106,15.2286,190,84,132,1.8186,0.82,0.091464,2.04,1.22,1.83,1.94,1,0.1128,2,1,2,0.17,1,0.2822,1,0,0,4.59,6,2.0022,6,0,6,0,0,0,0,0,0,6.7,5,1.846,8,3,8,0.06,1,0.1128,1,0,0,0.85,5,1.411,5,0,0,3.71,9,1.2614,9,0,4,0,0,0,0,0,0,4.62,5,0.8804,9,4,4,11.595225,25.1925,2.732346,32.365,7.1725,10.73,0.25908,1.524,0.4300728,1.524,0,0,1.498570588,2.1106628,0.869170941,2.1106628,0,2.1106628,216.19,63,19.7274,229,166,229,0.289552239,0.025373134,0.685074627,0,0,0.154730696,0.014079248,None
3,[2],"[2] J.M. Park, J.S. Park, D.H. Kim, J.-H. Kim, E. Fleury, Formation, and mechanical and magnetic properties of bulk ferromagnetic Fe-Nb-B-Y-(Zr, Co).  alloys, J. Mater. Res. 21 (2006) 1019–1024. https://doi.org/10.1557/jmr.2006.0126.",Fe69Nb6B17Y3Zr5,3,5,0.715541753,0.693677765,0.690126216,0.690005437,0.690000057,24.42,36,6.6028,41,5,26,55.57,60,5.5862,72,12,55,53.1736783,82.09538,14.40331062,92.90638,10.811,55.845,1974.12,951,235.6128,2750,1799,1811,8.32,10,1.5912,13,3,8,3.8,3,0.612,5,2,4,129.65,106,15.521,190,84,132,1.8086,0.82,0.108208,2.04,1.22,1.83,1.94,1,0.1128,2,1,2,0.17,1,0.2822,1,0,0,4.51,6,2.0562,6,0,6,0,0,0,0,0,0,6.62,5,1.9044,8,3,8,0.06,1,0.1128,1,0,0,0.85,5,1.411,5,0,0,3.79,9,1.2886,9,0,4,0,0,0,0,0,0,4.7,5,0.966,9,4,4,11.844525,25.1925,3.126533,32.365,7.1725,10.73,0.25908,1.524,0.4300728,1.524,0,0,1.456357332,2.1106628,0.902941546,2.1106628,0,2.1106628,215.49,63,20.265,229,166,229,0.29305136,0.025679758,0.681268882,0,0,0.154730696,0.016318196,None
4,[2],"[2] J.M. Park, J.S. Park, D.H. Kim, J.-H. Kim, E. Fleury, Formation, and mechanical and magnetic properties of bulk ferromagnetic Fe-Nb-B-Y-(Zr, Co).  alloys, J. Mater. Res. 21 (2006) 1019–1024. https://doi.org/10.1557/jmr.2006.0126.",Fe69Nb6B17Y3Co5,3,5,0.715541753,0.693677765,0.690126216,0.690005437,0.690000057,23.77,36,6.3818,41,5,26,56.27,60,5.5212,72,12,55,51.55913805,82.09538,13.85436694,92.90638,10.811,55.845,1956.12,982,228.5048,2750,1768,1811,8.57,10,1.5492,13,3,8,3.75,3,0.595,5,2,4,127.2,106,14.808,190,84,132,1.8361,0.82,0.073716,2.04,1.22,1.83,1.94,1,0.1128,2,1,2,0.17,1,0.2822,1,0,0,4.76,7,1.9352,7,0,6,0,0,0,0,0,0,6.87,6,1.7724,9,3,8,0.06,1,0.1128,1,0,0,0.85,5,1.411,5,0,0,3.54,9,1.2576,9,0,4,0,0,0,0,0,0,4.45,6,0.766,9,3,4,11.197025,25.1925,2.1080355,32.365,7.1725,10.73,0.25908,1.524,0.4300728,1.524,0,0,1.533780892,2.1106628,0.797566064,2.1106628,0,2.1106628,215.49,63,20.265,229,166,229,0.282387191,0.024745269,0.69286754,0,0,0.154730696,0.010584913,None
5,[2],"[2] J.M. Park, J.S. Park, D.H. Kim, J.-H. Kim, E. Fleury, Formation, and mechanical and magnetic properties of bulk ferromagnetic Fe-Nb-B-Y-(Zr, Co).  alloys, J. Mater. Res. 21 (2006) 1019–1024. https://doi.org/10.1557/jmr.2006.0126.",Fe66Nb6B17Y3Co8,2,5,0.689492567,0.664309117,0.660153885,0.660007133,0.660000085,23.8,36,6.392,41,5,26,56.36,60,5.58,72,12,55,51.6517839,82.09538,13.88586653,92.90638,10.811,55.845,1954.83,982,229.0982,2750,1768,1811,8.6,10,1.56,13,3,8,3.75,3,0.595,5,2,4,127.02,106,14.79,190,84,132,1.8376,0.82,0.0756,2.04,1.22,1.83,1.94,1,0.1128,2,1,2,0.17,1,0.2822,1,0,0,4.79,7,1.9508,7,0,6,0,0,0,0,0,0,6.9,6,1.788,9,3,8,0.06,1,0.1128,1,0,0,0.85,5,1.411,5,0,0,3.51,9,1.275,9,0,4,0,0,0,0,0,0,4.42,6,0.7816,9,3,4,11.182475,25.1925,2.1106545,32.365,7.1725,10.73,0.25908,1.524,0.4300728,1.524,0,0,1.516915144,2.1106628,0.788795875,2.1106628,0,2.1106628,214.44,63,20.9664,229,166,229,0.28115942,0.024637681,0.694202899,0,0,0.154730696,0.010609423,None
6,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe45Co3Cr15Mo14C15B6Y2,8,7,0.521536192,0.465501059,0.451002504,0.450076933,0.450001906,23.97,37,7.6674,42,5,26,56.95,65,7.884,77,12,55,52.36044285,85.149,17.20015885,95.96,10.811,55.845,2350.74,2055,594.3508,3823,1768,1811,8.55,11,2.196,14,3,8,3.74,3,0.7308,5,2,4,125.83,114,19.9686,190,76,132,1.9606,1.33,0.24218,2.55,1.22,1.83,1.71,1,0.4118,2,1,2,0.36,2,0.5688,2,0,0,4.38,7,1.9748,7,0,6,0,0,0,0,0,0,6.45,6,1.548,9,3,8,0.29,1,0.4118,1,0,0,0.9,5,1.422,5,0,0,3.52,9,1.5096,9,0,4,0,0,0,0,0,0,4.71,6,0.9546,9,3,4,10.9346,26.725,2.265348,32.365,5.64,10.73,0.76584,4.496,1.2100272,4.496,0,0,0.996252396,2.1106628,1.036102492,2.1106628,0,2.1106628,218.22,63,15.9544,229,166,229,0.265116279,0.055813953,0.679069767,0,0,0.357394967,0.042283911,None
7,[3],"[3] D.S. Song, J.-H. Kim, E. Fleury, W.T. Kim, D.H. Kim, Synthesis of ferromagnetic Fe-based bulk glassy alloys in the Fe–Nb–B–Y system, J. Alloys. Compd. 389 (2005) 159–164. https://doi.org/10.1016/j.jallcom.2004.08.014.",Fe74.5Nb6Y2.5B17,1,4,0.779018932,0.760231836,0.757207992,0.757117308,0.75711385,23.4054878,36,6.35961977,41,5,26,57.05589431,60,5.163613755,72,12,55,50.62696184,82.09538,13.75754779,92.90638,10.811,55.845,1960.920732,951,229.9760807,2750,1799,1811,8.635162602,10,1.508175524,13,3,8,3.724593496,3,0.595896127,5,2,4,126.1890244,106,14.57750843,190,84,132,1.846676829,0.82,0.066798657,2.04,1.22,1.83,1.93902439,1,0.11451517,2,1,2,0.172764228,1,0.285833499,1,0,0,4.795731707,6,1.823536337,6,0,6,0,0,0,0,0,0,6.907520325,5,1.654262922,8,3,8,0.06097561,1,0.11451517,1,0,0,0.863821138,5,1.429167493,5,0,0,3.476626016,9,1.201273217,9,0,4,0,0,0,0,0,0,4.401422764,5,0.607845446,9,4,4,10.76754065,25.1925,1.299033933,32.365,7.1725,10.73,0.263292683,1.524,0.435610252,1.524,0,0,1.598011978,2.1106628,0.776270046,2.1106628,0,2.1106628,217.7957317,63,18.33218694,229,166,229,0.280712079,0.025011034,0.694276887,0,0,0.154730696,0.006835632,None
8,[3],"[3] D.S. Song, J.-H. Kim, E. Fleury, W.T. Kim, D.H. Kim, Synthesis of ferromagnetic Fe-based bulk glassy alloys in the Fe–Nb–B–Y system, J. Alloys. Compd. 389 (2005) 159–164. https://doi.org/10.1016/j.jallcom.2004.08.014.",Fe73.5Nb6Y3.5B17,1,4,0.764847258,0.745616929,0.742523047,0.742428001,0.742424275,23.63131313,36,6.398632793,41,5,26,56.34848485,60,5.37526783,72,12,55,51.19290308,82.09538,13.86853237,92.90638,10.811,55.845,1959.818182,951,229.0945822,2750,1799,1811,8.550505051,10,1.528109377,13,3,8,3.742424242,3,0.598408326,5,2,4,127.1616162,106,14.82318131,190,84,132,1.836717172,0.82,0.069814305,2.04,1.22,1.83,1.939393939,1,0.113865932,2,1,2,0.171717172,1,0.284460769,1,0,0,4.722222222,6,1.897306397,6,0,6,0,0,0,0,0,0,6.833333333,5,1.732323232,8,3,8,0.060606061,1,0.113865932,1,0,0,0.858585859,5,1.422303847,5,0,0,3.560606061,9,1.222834405,9,0,4,0,0,0,0,0,0,4.47979798,5,0.712427303,9,4,4,11.1169697,25.1925,1.929257729,32.365,7.1725,10.73,0.26169697,1.524,0.433518212,1.524,0,0,1.56700723,2.1106628,0.807246149,2.1106628,0,2.1106628,217.2979798,63,18.79415366,229,166,229,0.283813747,0.025129342,0.691056911,0,0,0.154730696,0.00974256,None
9,[3] ,"[3] D.S. Song, J.-H. Kim, E. Fleury, W.T. Kim, D.H. Kim, Synthesis of ferromagnetic Fe-based bulk glassy alloys in the Fe–Nb–B–Y system, J. Alloys. Compd. 389 (2005) 159–164. https://doi.org/10.1016/j.jallcom.2004.08.014.",Fe74Nb6Y3B17,2,4,0.76223356,0.743125326,0.74009521,0.740003572,0.74000003,23.72,36,6.3648,41,5,26,56.12,60,5.3992,72,12,55,51.4047283,82.09538,13.80186762,92.90638,10.811,55.845,1958.27,951,227.5158,2750,1799,1811,8.52,10,1.5232,13,3,8,3.75,3,0.595,5,2,4,127.5,106,14.79,190,84,132,1.8336,0.82,0.070176,2.04,1.22,1.83,1.94,1,0.1128,2,1,2,0.17,1,0.2822,1,0,0,4.71,6,1.9092,6,0,6,0,0,0,0,0,0,6.82,5,1.7464,8,3,8,0.06,1,0.1128,1,0,0,0.85,5,1.411,5,0,0,3.59,9,1.2206,9,0,4,0,0,0,0,0,0,4.5,5,0.74,9,4,4,11.221275,25.1925,2.1036705,32.365,7.1725,10.73,0.25908,1.524,0.4300728,1.524,0,0,1.561890472,2.1106628,0.812183045,2.1106628,0,2.1106628,217.24,63,18.816,229,166,229,0.284457478,0.024926686,0.690615836,0,0,0.154730696,0.010539066,None
10,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe58Co14Y6B22 ,2.5,4,0.638748777,0.593182079,0.581003763,0.580097521,0.580003615,22.3,34,7.612,39,5,26,56.58,60,7.1824,72,12,55,48.3535183,78.09485,16.51870805,88.90585,10.811,55.845,1922.4,580,187.264,2348,1768,1811,8.94,10,1.8032,13,3,8,3.62,3,0.7128,5,2,4,124.08,106,17.6352,190,84,132,1.8466,0.82,0.094448,2.04,1.22,1.83,2,0,4.44E-16,2,2,2,0.22,1,0.3432,1,0,0,4.52,7,2.4112,7,0,6,0,0,0,0,0,0,6.74,6,2.0944,9,3,8,0,0,0,0,0,0,1.1,5,1.716,5,0,0,3.28,9,1.5216,9,0,4,0,0,0,0,0,0,4.38,6,0.8272,9,3,4,11.17755,25.1925,2.542494,32.365,7.1725,10.73,0.33528,1.524,0.5230368,1.524,0,0,1.440970392,2.1106628,0.80694342,2.1106628,0,2.1106628,208.14,63,24.1976,229,166,229,0.296735905,0.03264095,0.670623145,0,0,0.154730696,0.015293407,None
